# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
hotel,fresh_produce,dinner,1,holiday,67.95,101,75,7.36,7.56,36.75
hotel,other,dinner,4,none,330.09,457,486,14.27,2.65,0.0
hotel,dairy,all_day,0,holiday,131.99,329,209,10.37,2.43,55.37
other,cooked_meals,snack,1,none,71.37,105,95,8.11,5.08,6.72
hotel,other,dinner,2,weekend_rush,62.15,110,99,8.83,4.27,15.34
supermarket,fresh_produce,all_day,4,none,164.2,272,296,18.06,7.1,0.0
supermarket,meat_poultry,dinner,6,none,229.5,422,346,6.99,4.16,36.29
restaurant,meat_poultry,all_day,5,none,116.24,152,108,11.93,3.52,43.8
other,meat_poultry,dinner,6,none,320.52,444,437,47.89,1.72,11.24
restaurant,bakery,all_day,5,none,308.19,753,743,32.18,3.4,13.67
hotel,meat_poultry,lunch,4,none,302.04,500,550,15.2,7.83,0.0
hotel,other,lunch,2,holiday,187.68,460,255,19.52,1.5,97.33
other,meat_poultry,all_day,3,holiday,254.72,387,268,8.21,1.28,90.67
caterer,other,dinner,2,corporate,321.58,497,403,8.29,1.41,79.7
caterer,bakery,breakfast,5,corporate,100.15,149,90,1.67,2.24,65.98
other,other,all_day,4,none,171.39,333,300,14.8,2.15,12.79
other,dairy,lunch,4,holiday,37.13,53,28,2.73,6.34,18.17
hotel,dairy,breakfast,4,none,220.57,275,261,20.72,5.93,20.27
caterer,other,breakfast,3,holiday,190.56,448,180,15.38,4.28,142.03
supermarket,cooked_meals,dinner,2,none,81.03,151,120,10.08,4.94,10.56
caterer,fresh_produce,all_day,0,none,383.37,542,594,46.42,3.57,0.0
supermarket,meat_poultry,all_day,1,none,336.35,454,447,26.4,3.41,5.84
caterer,dairy,dinner,3,weekend_rush,357.34,677,534,20.28,4.31,96.6
caterer,cooked_meals,dinner,1,none,64.41,81,79,5.68,1.45,0.8
caterer,other,all_day,2,none,296.53,444,392,24.15,2.82,43.71
caterer,other,breakfast,5,weekend_rush,137.7,277,218,13.14,6.11,35.81
other,bakery,breakfast,1,none,383.59,721,506,14.54,4.06,129.12
hotel,dairy,breakfast,3,none,188.57,402,340,18.39,5.58,41.08
other,other,all_day,4,none,179.42,340,271,23.35,3.01,37.91
supermarket,fresh_produce,all_day,0,none,140.12,245,230,3.22,6.13,3.82
other,bakery,all_day,3,weekend_rush,129.41,272,189,13.36,3.24,50.76
other,bakery,all_day,1,none,155.46,334,221,2.51,4.41,60.34
restaurant,dairy,snack,4,wedding,261.36,342,320,21.22,3.27,17.88
other,other,snack,4,none,353.68,557,396,21.12,4.6,106.25
caterer,other,snack,4,none,367.54,842,830,37.46,1.47,17.34
caterer,dairy,all_day,0,none,361.02,544,463,49.77,7.3,78.22
hotel,bakery,snack,0,none,129.01,254,249,1.19,2.89,6.16
hotel,dairy,breakfast,3,none,196.15,333,269,19.73,6.93,50.95
hotel,other,snack,6,wedding,23.29,30,29,0.01,4.48,0.0
supermarket,other,lunch,3,none,259.64,601,606,12.83,3.96,0.0
supermarket,cooked_meals,dinner,5,none,392.83,558,348,49.76,5.08,169.69
hotel,dairy,lunch,3,holiday,323.91,601,428,11.66,7.26,110.07
other,other,dinner,2,none,379.88,631,567,23.83,4.83,43.84
restaurant,bakery,breakfast,1,none,372.34,585,360,53.66,4.5,170.3
supermarket,cooked_meals,breakfast,4,none,360.86,646,521,0.44,7.29,81.7
hotel,other,lunch,2,corporate,87.44,174,134,0.79,3.28,18.53
supermarket,dairy,snack,0,none,74.66,184,166,3.77,5.1,9.4
caterer,other,all_day,6,none,182.65,275,141,16.15,4.3,114.24
hotel,bakery,snack,0,holiday,142.73,288,173,10.77,1.47,70.56
other,cooked_meals,snack,3,corporate,336.51,482,267,47.58,6.83,195.27
hotel,bakery,breakfast,3,none,269.78,473,381,39.55,2.97,72.31
caterer,cooked_meals,breakfast,2,none,244.49,382,415,18.94,4.53,0.0
caterer,fresh_produce,dinner,4,none,58.39,90,87,8.39,6.98,0.0
caterer,other,breakfast,5,none,27.45,41,32,4.02,6.54,8.01
other,meat_poultry,breakfast,0,weekend_rush,341.65,573,485,36.12,3.37,56.81
other,bakery,snack,6,none,346.0,660,500,25.73,6.13,107.27
other,dairy,lunch,4,weekend_rush,213.5,327,331,0.74,4.5,0.0
supermarket,bakery,lunch,4,corporate,207.22,386,258,8.77,2.53,65.81
restaurant,cooked_meals,snack,4,wedding,53.09,128,138,6.05,3.2,0.0
hotel,meat_poultry,lunch,2,none,223.01,302,277,0.28,6.46,25.01
other,meat_poultry,all_day,5,corporate,153.87,296,241,2.91,2.3,31.71
supermarket,cooked_meals,breakfast,4,none,219.72,367,310,20.04,1.73,39.32
hotel,cooked_meals,lunch,5,wedding,24.85,36,27,1.75,7.42,0.0
other,fresh_produce,lunch,4,weekend_rush,232.87,504,404,32.6,7.57,50.32
restaurant,other,snack,1,none,43.15,75,75,1.13,6.94,0.0
caterer,fresh_produce,breakfast,6,none,239.86,557,462,28.08,6.29,60.29
hotel,dairy,all_day,3,none,394.84,569,470,4.96,4.38,88.43
restaurant,meat_poultry,snack,0,corporate,61.98,83,56,6.71,1.04,28.58
restaurant,other,snack,2,none,106.42,227,162,1.4,7.25,40.08
restaurant,cooked_meals,snack,6,weekend_rush,63.53,120,111,2.05,6.78,10.37
other,fresh_produce,lunch,3,none,171.46,366,264,0.68,4.93,56.24
supermarket,cooked_meals,snack,6,none,191.2,472,287,21.12,5.0,88.8
hotel,bakery,snack,4,wedding,169.71,335,292,17.5,3.61,26.51
other,dairy,breakfast,0,corporate,193.13,299,150,19.94,4.59,97.48
hotel,bakery,all_day,2,wedding,232.32,357,355,1.65,1.29,8.07
caterer,meat_poultry,breakfast,0,holiday,232.49,379,328,26.53,7.49,42.7
restaurant,bakery,dinner,0,weekend_rush,54.24,76,52,2.38,5.79,29.12
hotel,dairy,snack,6,none,58.48,78,55,1.1,1.29,21.96
caterer,cooked_meals,lunch,5,none,28.26,46,31,3.17,7.89,5.18
other,other,lunch,1,none,272.24,456,501,37.88,3.15,0.0
hotel,cooked_meals,breakfast,4,holiday,106.78,218,136,8.08,4.25,63.29
supermarket,other,all_day,3,none,70.09,92,84,3.89,6.19,13.34
caterer,bakery,breakfast,4,none,198.54,372,365,11.88,7.86,11.77
hotel,meat_poultry,snack,1,none,248.54,331,273,30.36,4.64,53.89
supermarket,other,snack,6,none,292.14,643,586,9.76,6.02,21.57
supermarket,meat_poultry,snack,6,none,35.89,55,59,2.96,2.75,4.07
other,other,breakfast,6,holiday,169.32,215,86,24.14,2.71,95.4
other,fresh_produce,snack,1,corporate,229.84,345,253,13.96,2.39,58.01
other,cooked_meals,lunch,4,corporate,176.2,325,297,14.36,4.48,11.39
supermarket,fresh_produce,breakfast,3,none,67.93,87,58,9.26,5.47,28.27
hotel,other,breakfast,3,none,125.26,204,200,8.24,1.21,1.54
hotel,bakery,all_day,3,none,108.11,150,131,6.61,1.8,19.3
restaurant,cooked_meals,breakfast,5,weekend_rush,106.22,202,111,13.43,4.37,56.49
hotel,fresh_produce,snack,2,none,177.02,235,258,18.61,7.49,0.0
hotel,fresh_produce,all_day,1,weekend_rush,44.44,79,59,5.64,1.89,15.53
supermarket,dairy,snack,0,none,332.64,572,246,12.78,1.84,181.03
hotel,dairy,snack,3,none,41.16,57,47,0.78,3.9,3.93
supermarket,meat_poultry,dinner,6,corporate,207.16,270,297,9.56,1.3,0.0
caterer,fresh_produce,all_day,6,holiday,307.81,567,320,15.27,2.25,181.41
restaurant,dairy,dinner,4,weekend_rush,140.9,288,206,4.75,1.54,48.34
restaurant,fresh_produce,snack,0,none,50.32,88,78,6.39,6.13,7.8
caterer,fresh_produce,lunch,6,none,214.57,346,181,29.04,7.13,149.12
hotel,fresh_produce,snack,0,none,208.12,281,193,7.88,6.12,86.6
restaurant,dairy,snack,4,none,289.16,528,491,16.04,5.54,23.77
hotel,fresh_produce,lunch,2,holiday,254.17,444,344,30.87,5.87,80.42
restaurant,dairy,dinner,4,none,160.24,232,184,8.26,5.86,30.94
hotel,bakery,breakfast,2,none,399.4,569,438,6.73,3.43,131.74
restaurant,cooked_meals,snack,4,corporate,337.48,725,486,42.03,3.93,152.29
caterer,fresh_produce,dinner,1,none,326.12,455,324,2.45,7.12,131.27
supermarket,fresh_produce,dinner,2,none,353.0,679,727,46.42,7.39,0.0
hotel,meat_poultry,lunch,1,none,380.66,476,366,0.46,1.06,111.58
restaurant,fresh_produce,dinner,1,none,339.78,840,781,30.41,1.61,26.25
restaurant,fresh_produce,breakfast,0,none,197.76,461,474,15.35,7.47,0.0
supermarket,bakery,all_day,5,none,399.47,615,587,55.41,3.48,22.05
restaurant,dairy,breakfast,4,none,284.65,611,537,30.49,1.49,33.7
caterer,meat_poultry,snack,0,none,71.19,154,130,4.68,3.48,16.52
other,fresh_produce,lunch,0,holiday,135.85,170,108,9.1,4.2,52.05
restaurant,bakery,dinner,4,weekend_rush,214.62,394,245,28.46,2.45,97.66
hotel,meat_poultry,dinner,0,none,60.26,135,98,8.13,5.37,14.65
restaurant,other,snack,4,none,210.51,504,486,14.66,4.47,6.13
supermarket,dairy,all_day,4,none,381.2,481,388,1.45,1.28,70.04
hotel,meat_poultry,snack,6,weekend_rush,73.93,141,129,2.69,5.5,11.41
supermarket,bakery,snack,1,none,387.12,528,507,56.84,2.21,11.85
restaurant,bakery,lunch,6,weekend_rush,79.16,161,106,7.15,1.5,37.99
other,dairy,snack,6,none,198.24,371,300,3.44,7.62,37.42
supermarket,cooked_meals,lunch,4,holiday,60.63,100,50,0.66,5.83,42.54
other,other,dinner,3,none,186.9,253,265,4.37,2.45,0.0
caterer,other,lunch,1,none,115.86,250,220,0.25,2.07,20.12
supermarket,other,snack,2,none,155.14,216,207,9.24,2.84,6.43
supermarket,meat_poultry,lunch,2,none,27.29,38,26,2.47,2.44,11.99
supermarket,bakery,all_day,4,weekend_rush,59.66,75,60,8.4,6.06,16.81
caterer,meat_poultry,dinner,0,corporate,166.85,313,211,9.65,2.11,76.52
other,cooked_meals,lunch,2,weekend_rush,124.71,173,144,15.02,6.54,30.63
restaurant,cooked_meals,lunch,3,none,81.65,144,117,11.69,4.35,10.85
other,cooked_meals,lunch,4,none,263.84,362,386,1.55,3.14,0.0
supermarket,meat_poultry,snack,2,none,169.23,268,161,10.77,3.97,68.23
supermarket,fresh_produce,dinner,6,none,143.77,208,228,0.22,2.92,0.0
hotel,other,dinner,4,none,311.53,645,569,18.73,2.45,49.68
other,fresh_produce,snack,2,weekend_rush,210.82,268,265,6.89,5.53,2.94
supermarket,meat_poultry,lunch,4,none,298.88,695,515,23.25,6.45,80.49
other,cooked_meals,snack,0,none,69.73,119,94,8.77,4.0,16.3
hotel,meat_poultry,breakfast,6,none,311.92,547,370,30.85,3.44,120.51
other,bakery,snack,4,wedding,149.77,210,185,1.79,1.49,20.8
restaurant,bakery,all_day,0,none,295.79,446,409,1.98,6.29,36.32
hotel,cooked_meals,breakfast,2,none,90.38,134,97,0.47,3.87,52.32
caterer,bakery,all_day,3,none,184.03,437,351,0.91,1.01,48.62
restaurant,bakery,snack,4,none,34.48,57,42,1.69,1.95,13.04
restaurant,other,breakfast,5,weekend_rush,197.23,377,400,7.59,5.16,0.0
supermarket,dairy,breakfast,3,wedding,32.18,74,64,0.11,4.51,2.26
supermarket,fresh_produce,all_day,1,holiday,200.66,251,227,0.36,2.74,25.95
caterer,bakery,all_day,1,weekend_rush,39.01,84,78,0.69,7.98,10.0
supermarket,other,snack,1,corporate,63.85,113,86,4.83,5.52,19.05
supermarket,meat_poultry,snack,6,holiday,380.84,509,495,22.87,3.57,10.45
restaurant,other,snack,1,wedding,21.91,38,38,1.32,2.47,0.0
supermarket,fresh_produce,all_day,6,none,161.45,234,256,8.85,7.55,0.0
hotel,meat_poultry,lunch,6,holiday,89.94,173,111,9.7,6.11,44.2
other,cooked_meals,all_day,0,none,347.64,498,474,48.49,3.4,10.84
hotel,cooked_meals,breakfast,5,wedding,240.33,438,408,9.52,7.63,33.3
caterer,dairy,lunch,4,holiday,249.88,387,298,37.46,6.85,77.64
caterer,fresh_produce,breakfast,0,weekend_rush,361.29,462,322,33.59,1.58,149.66
other,other,breakfast,3,none,24.63,37,37,1.35,4.58,0.0
supermarket,bakery,lunch,2,none,115.5,247,166,11.55,2.64,35.81
other,cooked_meals,breakfast,2,none,228.99,383,262,25.75,1.95,94.31
hotel,cooked_meals,dinner,2,weekend_rush,42.97,74,64,5.35,7.65,2.17
hotel,fresh_produce,snack,6,none,365.73,488,535,1.83,6.71,0.0
restaurant,dairy,breakfast,1,none,364.32,496,398,13.68,5.81,76.2
caterer,cooked_meals,all_day,5,corporate,374.68,711,578,42.88,5.92,114.47
restaurant,other,dinner,1,none,25.35,62,57,0.89,1.2,0.99
caterer,cooked_meals,dinner,6,corporate,126.05,199,160,18.45,5.31,35.3
restaurant,cooked_meals,snack,2,holiday,130.78,209,144,14.99,5.34,51.62
other,dairy,snack,2,weekend_rush,327.77,561,490,25.81,4.34,49.09
other,other,lunch,2,none,118.1,284,300,11.58,5.77,0.0
other,fresh_produce,lunch,2,holiday,375.81,519,376,15.45,2.42,119.56
hotel,dairy,breakfast,1,none,231.64,349,315,24.88,3.92,29.66
hotel,other,breakfast,6,none,161.36,218,194,17.45,2.69,27.85
restaurant,cooked_meals,snack,6,wedding,392.94,734,757,30.17,3.24,0.0
restaurant,other,breakfast,4,none,287.68,482,416,32.55,1.14,38.79
restaurant,other,dinner,6,holiday,75.29,102,92,4.97,1.86,6.51
caterer,fresh_produce,breakfast,5,holiday,277.89,652,457,36.17,3.59,111.07
caterer,other,snack,1,none,346.02,621,563,2.76,6.57,42.69
other,fresh_produce,dinner,0,none,193.04,266,236,0.97,5.72,30.0
restaurant,cooked_meals,breakfast,1,none,106.45,180,129,11.01,4.29,39.0
supermarket,dairy,lunch,3,none,358.6,672,596,1.16,4.64,37.18
supermarket,fresh_produce,all_day,2,corporate,394.61,591,362,12.54,6.96,147.17
other,fresh_produce,breakfast,2,wedding,296.77,501,397,39.94,7.24,69.85
other,other,all_day,4,none,288.04,557,517,37.5,5.42,18.6
supermarket,bakery,breakfast,2,wedding,177.98,322,249,12.06,7.78,33.56
caterer,dairy,all_day,1,none,26.43,48,42,3.63,4.57,0.0
restaurant,fresh_produce,lunch,4,none,338.84,438,333,46.88,5.66,95.08
hotel,dairy,breakfast,3,none,215.5,314,263,19.77,6.45,42.61
supermarket,meat_poultry,breakfast,2,none,242.02,577,398,36.2,4.19,78.34
supermarket,fresh_produce,breakfast,4,weekend_rush,291.02,625,523,2.59,5.6,48.76
hotel,meat_poultry,snack,5,none,391.74,522,453,53.55,6.74,70.37
hotel,other,lunch,1,corporate,21.36,51,45,0.96,3.73,0.0
hotel,cooked_meals,snack,4,corporate,92.51,148,123,6.82,7.11,16.37
caterer,cooked_meals,all_day,5,wedding,83.24,116,114,10.72,1.89,0.0
restaurant,other,breakfast,1,holiday,390.53,521,209,16.68,6.36,242.34
restaurant,fresh_produce,breakfast,2,wedding,268.05,378,330,2.31,6.44,36.01
restaurant,bakery,lunch,0,none,148.55,205,213,13.18,5.43,0.0
supermarket,meat_poultry,snack,1,corporate,38.86,52,44,0.11,6.78,15.49
other,meat_poultry,all_day,3,none,113.48,189,156,14.43,3.33,29.38
restaurant,bakery,snack,0,none,94.35,119,107,8.64,2.08,8.36
caterer,meat_poultry,all_day,0,none,376.44,515,474,31.58,2.31,43.99
hotel,fresh_produce,lunch,5,none,131.3,243,191,5.84,7.23,39.71
restaurant,other,dinner,4,weekend_rush,158.01,306,336,8.16,5.86,0.0
hotel,other,lunch,5,corporate,169.82,253,169,24.26,6.84,68.82
restaurant,cooked_meals,lunch,1,none,75.04,118,105,0.23,1.12,4.81
hotel,bakery,dinner,1,none,256.8,348,341,35.07,3.29,12.13
hotel,dairy,snack,0,none,283.98,401,340,10.5,1.06,57.89
caterer,meat_poultry,dinner,5,none,213.6,305,166,6.9,1.46,129.91
restaurant,fresh_produce,breakfast,4,none,214.9,313,288,10.54,4.1,18.53
restaurant,bakery,all_day,0,none,301.12,441,254,19.52,3.89,157.04
supermarket,dairy,dinner,5,none,359.0,870,614,2.92,5.18,103.96
caterer,meat_poultry,breakfast,0,none,233.81,395,315,26.91,7.34,62.2
hotel,meat_poultry,breakfast,5,none,165.15,267,258,1.81,3.65,6.98
supermarket,bakery,snack,6,weekend_rush,64.79,82,72,0.45,5.94,6.98
restaurant,meat_poultry,lunch,1,holiday,132.78,245,160,19.73,4.31,53.34
restaurant,fresh_produce,all_day,4,none,48.51,63,55,4.55,3.86,8.92
restaurant,bakery,all_day,2,none,89.87,133,116,12.79,3.35,11.23
supermarket,cooked_meals,dinner,4,weekend_rush,29.18,55,42,1.28,7.51,9.41
other,dairy,snack,3,none,100.63,131,118,1.66,5.01,14.36
caterer,cooked_meals,breakfast,5,none,99.16,162,111,5.48,3.55,50.9
caterer,bakery,breakfast,5,corporate,305.31,603,373,43.28,2.5,170.41
supermarket,other,breakfast,3,holiday,397.18,591,382,55.68,4.02,135.02
supermarket,cooked_meals,all_day,1,holiday,291.63,421,187,28.5,2.81,184.32
restaurant,other,breakfast,2,corporate,47.95,98,73,4.08,7.65,20.97
restaurant,bakery,dinner,4,none,298.03,517,487,35.7,2.7,13.49
caterer,cooked_meals,lunch,1,none,328.22,436,418,1.1,1.35,23.2
restaurant,other,all_day,2,wedding,224.47,337,303,31.66,6.33,20.37
supermarket,other,breakfast,3,none,158.99,203,179,6.39,6.96,15.84
other,fresh_produce,dinner,0,none,260.92,478,376,14.25,2.47,64.95
hotel,fresh_produce,dinner,0,none,82.85,116,98,7.2,7.14,9.57
restaurant,meat_poultry,breakfast,5,corporate,142.11,206,140,6.04,4.49,48.74
other,bakery,all_day,4,weekend_rush,301.1,601,454,5.31,7.64,78.46
supermarket,dairy,breakfast,5,corporate,20.83,27,16,0.82,4.1,2.0
supermarket,meat_poultry,dinner,0,corporate,294.52,678,538,14.97,6.74,67.4
hotel,bakery,all_day,1,none,175.23,324,293,22.01,1.47,25.3
supermarket,cooked_meals,snack,2,none,315.03,493,363,39.37,5.94,98.97
hotel,dairy,all_day,4,none,183.3,306,246,0.7,7.47,41.65
restaurant,other,all_day,2,none,66.22,121,97,5.71,7.23,5.63
other,fresh_produce,lunch,0,corporate,218.62,352,181,23.35,4.45,123.93
other,dairy,all_day,4,none,289.32,637,482,14.73,1.76,80.73
restaurant,cooked_meals,snack,6,weekend_rush,34.7,49,53,0.34,5.36,0.0
restaurant,fresh_produce,lunch,1,corporate,114.1,155,114,7.46,4.89,34.74
caterer,dairy,snack,2,none,128.13,176,129,1.27,2.51,37.08
hotel,bakery,dinner,6,none,320.15,483,494,19.91,6.9,0.0
hotel,dairy,all_day,5,holiday,131.69,262,173,1.61,5.5,67.73
supermarket,other,lunch,6,none,305.06,627,550,39.94,7.05,41.67
hotel,dairy,all_day,6,none,244.74,329,294,11.89,7.76,33.37
hotel,bakery,lunch,2,holiday,153.63,201,136,0.75,7.62,60.28
restaurant,dairy,all_day,1,none,335.79,505,321,46.65,3.65,134.08
supermarket,cooked_meals,snack,1,none,167.97,297,259,6.37,6.31,28.13
other,fresh_produce,all_day,1,none,101.26,243,171,12.9,4.36,40.02
restaurant,dairy,all_day,2,holiday,243.48,317,209,19.9,1.98,107.71
hotel,other,dinner,1,none,214.82,320,256,30.71,5.92,54.1
caterer,fresh_produce,breakfast,3,corporate,32.91,44,36,2.45,2.34,7.97
hotel,meat_poultry,lunch,3,none,55.78,110,92,8.1,7.21,23.64
other,bakery,lunch,6,corporate,35.31,63,60,0.71,5.58,0.33
supermarket,cooked_meals,lunch,5,none,376.12,805,625,48.59,6.69,101.15
other,cooked_meals,lunch,0,none,134.31,274,287,19.41,4.11,0.0
caterer,cooked_meals,snack,2,none,69.9,96,63,4.11,7.33,30.34
supermarket,dairy,snack,6,wedding,382.07,532,498,18.02,5.9,22.61
other,other,dinner,6,weekend_rush,47.34,113,93,2.26,3.87,8.11
hotel,dairy,snack,1,holiday,217.39,370,272,13.15,7.55,71.77
other,meat_poultry,snack,4,none,161.0,246,221,20.56,6.43,24.74
hotel,dairy,lunch,5,weekend_rush,165.28,285,215,9.04,6.5,45.48
caterer,bakery,all_day,6,wedding,198.33,368,336,12.37,6.82,24.03
other,dairy,all_day,1,wedding,275.4,549,454,13.59,4.74,48.26
restaurant,meat_poultry,dinner,6,none,340.47,495,391,28.32,5.2,85.69
other,bakery,dinner,6,weekend_rush,322.32,508,416,13.7,5.48,64.57
supermarket,other,snack,6,none,256.22,567,442,18.76,7.59,49.21
caterer,fresh_produce,all_day,4,wedding,307.03,403,366,1.14,3.69,39.16
other,fresh_produce,snack,1,wedding,36.71,49,49,2.36,4.09,0.0
restaurant,meat_poultry,lunch,1,corporate,367.77,650,295,14.73,4.08,229.5
supermarket,dairy,breakfast,0,none,258.54,544,237,17.94,2.96,144.3
hotel,other,all_day,0,none,181.83,382,338,9.85,6.97,33.33
restaurant,dairy,breakfast,4,none,20.41,26,27,2.0,1.24,4.31
restaurant,dairy,snack,2,none,296.16,390,365,11.75,2.05,24.63
supermarket,fresh_produce,dinner,4,none,36.8,73,56,3.5,2.56,4.58
supermarket,fresh_produce,lunch,1,none,288.71,454,346,1.83,1.08,58.65
restaurant,bakery,breakfast,6,wedding,101.34,176,155,0.35,1.36,7.7
supermarket,bakery,snack,6,none,324.93,467,431,40.86,6.12,27.26
caterer,meat_poultry,dinner,0,corporate,347.03,856,572,39.88,1.48,167.32
hotel,bakery,all_day,3,corporate,82.57,131,103,5.0,3.79,21.87
caterer,other,snack,2,none,381.61,490,415,22.48,1.03,72.63
hotel,dairy,snack,3,none,317.17,402,355,0.83,2.35,46.46
hotel,dairy,breakfast,5,weekend_rush,152.8,198,176,21.03,4.15,29.29
hotel,meat_poultry,snack,3,holiday,165.72,315,198,8.69,3.19,81.47
restaurant,fresh_produce,lunch,2,wedding,138.43,173,115,15.22,2.88,50.15
other,meat_poultry,breakfast,6,none,354.85,624,527,30.93,4.54,67.96
caterer,cooked_meals,lunch,3,none,332.65,496,403,29.67,3.04,96.0
hotel,meat_poultry,lunch,0,weekend_rush,221.43,302,285,22.38,1.05,16.25
other,other,snack,3,wedding,392.18,669,617,54.73,7.23,39.95
other,dairy,dinner,4,none,188.69,317,269,4.93,5.35,30.0
restaurant,meat_poultry,snack,5,none,181.0,346,298,9.13,5.7,28.88
restaurant,meat_poultry,all_day,6,wedding,342.46,610,597,27.75,2.56,11.29
other,bakery,snack,5,none,63.76,112,99,8.5,5.73,8.25
hotel,cooked_meals,all_day,3,none,377.32,729,496,30.96,1.37,180.42
restaurant,cooked_meals,all_day,0,weekend_rush,143.08,236,210,2.35,7.64,25.06
supermarket,bakery,dinner,6,wedding,21.34,27,28,1.89,6.63,0.0
other,meat_poultry,breakfast,1,wedding,26.79,55,51,0.55,6.87,0.0
restaurant,bakery,snack,1,none,362.47,804,549,27.53,5.16,138.57
supermarket,bakery,snack,6,holiday,202.88,349,183,16.68,7.67,87.12
restaurant,meat_poultry,snack,5,corporate,219.34,448,344,11.04,3.36,48.78
other,cooked_meals,snack,2,none,21.49,35,30,2.22,1.61,1.99
caterer,dairy,dinner,1,wedding,368.62,548,503,49.46,6.01,42.37
hotel,cooked_meals,snack,5,none,318.09,473,357,14.04,7.11,117.4
caterer,dairy,lunch,1,none,101.73,153,103,12.29,3.64,42.36
hotel,bakery,all_day,2,none,32.69,58,53,4.85,1.18,5.8
supermarket,bakery,breakfast,3,corporate,248.7,395,372,16.79,5.09,14.2
supermarket,dairy,breakfast,5,none,253.21,389,427,31.19,4.04,0.0
hotel,other,lunch,6,none,220.03,327,321,16.53,7.66,1.42
other,fresh_produce,all_day,1,none,84.04,144,130,11.24,7.4,15.45
other,fresh_produce,lunch,5,none,336.56,498,428,1.86,2.54,49.39
hotel,bakery,dinner,1,none,50.52,66,53,6.16,1.83,10.21
caterer,bakery,breakfast,6,none,298.92,636,463,2.01,2.18,114.91
hotel,fresh_produce,dinner,2,none,70.13,117,108,6.69,7.65,3.64
supermarket,bakery,lunch,1,holiday,64.64,95,79,0.74,5.87,9.24
other,meat_poultry,snack,3,none,348.57,583,378,10.07,6.22,144.46
supermarket,bakery,dinner,1,none,174.79,257,192,24.36,4.21,45.16
caterer,dairy,breakfast,0,none,397.88,958,630,55.86,7.07,179.45
supermarket,bakery,snack,4,none,330.3,441,409,35.01,7.25,36.85
caterer,bakery,dinner,4,corporate,386.51,839,681,17.7,7.83,100.07
caterer,fresh_produce,breakfast,4,holiday,350.64,555,222,0.3,7.94,284.53
hotel,dairy,breakfast,3,corporate,45.81,68,56,6.16,5.05,5.68
other,dairy,dinner,4,corporate,286.87,364,223,24.03,6.72,113.85
other,bakery,all_day,6,corporate,137.63,179,139,16.89,3.03,45.86
supermarket,other,lunch,5,holiday,313.23,407,303,36.57,1.65,74.25
restaurant,cooked_meals,breakfast,5,none,220.16,404,341,30.54,7.55,47.02
other,cooked_meals,snack,6,corporate,174.79,279,220,21.71,5.95,51.61
other,bakery,dinner,3,corporate,296.11,435,337,20.78,1.23,86.59
caterer,dairy,breakfast,0,none,261.27,351,373,0.01,6.03,0.0
restaurant,bakery,snack,3,none,264.92,414,407,31.62,2.69,0.0
other,dairy,snack,3,none,330.79,488,415,19.95,7.7,63.34
hotel,fresh_produce,snack,5,none,58.72,103,79,5.42,1.91,21.88
hotel,dairy,all_day,6,none,340.05,466,391,15.1,7.1,68.69
restaurant,other,lunch,2,corporate,329.92,489,455,25.63,5.93,20.27
supermarket,other,lunch,5,none,91.4,181,175,1.35,3.29,9.5
other,other,lunch,4,none,64.67,87,83,6.84,3.52,7.9
caterer,dairy,all_day,4,none,243.86,321,267,22.63,4.11,62.11
restaurant,bakery,lunch,1,holiday,161.69,219,215,16.86,6.65,0.0
caterer,meat_poultry,snack,2,none,168.86,265,244,23.98,1.7,16.83
other,cooked_meals,all_day,5,weekend_rush,21.76,29,24,1.58,5.58,3.94
hotel,meat_poultry,breakfast,6,none,60.47,134,110,1.05,7.49,18.93
supermarket,cooked_meals,breakfast,0,wedding,47.62,64,50,6.96,4.08,2.77
hotel,other,snack,1,none,190.2,363,391,15.52,7.14,0.0
hotel,fresh_produce,snack,2,corporate,99.36,207,157,0.36,5.27,42.27
hotel,fresh_produce,breakfast,2,holiday,80.78,158,73,9.08,4.57,51.16
hotel,fresh_produce,breakfast,3,none,234.49,300,238,32.73,4.0,72.43
caterer,dairy,lunch,5,wedding,389.54,911,1002,53.78,6.07,0.0
supermarket,bakery,all_day,5,none,257.72,612,453,23.66,4.84,63.29
restaurant,other,dinner,4,none,301.4,404,390,2.25,3.45,4.83
supermarket,fresh_produce,lunch,0,none,183.87,272,208,26.7,7.68,41.84
caterer,other,breakfast,1,none,199.75,277,218,13.6,5.16,57.59
hotel,cooked_meals,dinner,3,none,395.85,592,355,16.28,1.79,234.85
hotel,other,dinner,2,corporate,251.03,569,353,25.24,2.23,120.97
restaurant,dairy,all_day,0,none,25.67,56,51,0.69,5.71,0.0
hotel,bakery,snack,6,none,317.41,431,438,11.74,6.62,1.1
caterer,meat_poultry,all_day,3,none,157.67,288,248,11.47,1.74,31.0
caterer,meat_poultry,dinner,4,none,47.62,69,52,3.1,5.15,23.91
supermarket,other,breakfast,5,none,138.25,238,221,14.09,3.21,11.63
restaurant,meat_poultry,all_day,4,corporate,45.97,113,82,1.6,5.32,19.11
supermarket,dairy,dinner,2,holiday,206.85,458,436,14.48,1.7,13.01
hotel,bakery,snack,0,none,343.08,632,597,3.48,1.23,23.76
